Sample	Status	Cell_state	Cell_type	locus	property	mean	scaled_property
CVID-9-Naive-IGK	CVID	CVID naive	Naive	IGK	volume	107.48987	-0.280443315108614
HD-1-Bright-IGK	Healthy	Healthy bright	Bright	IGK	volume	108.50662	0.767753754809895
HD-1-Naive-IGK	Healthy	Healthy naive	Naive	IGK	volume	107.966125	0.210541780081008
HD-3-Bright-IGK	Healthy	Healthy bright	Bright	IGK	volume	109.33169	1.61834235227993
HD-3-Naive-IGK	Healthy	Healthy naive	Naive	IGK	volume	108.15269	0.402877050648353
HD-4-Bright-IGK	Healthy	Healthy bright	Bright	IGK	volume	108.30865	0.563660738894709
HD-4-Naive-IGK	Healthy	Healthy naive	Naive	IGK	volume	107.37309	-0.400835204781665
HD-5-Bright-IGK	Healthy	Healthy bright	Bright	IGK	volume	108.77571	1.04516644184641
HD-5-Naive-IGK	Healthy	Healthy naive	Naive	IGK	volume	107.67002	-0.0947214541341204
Infected-2-Bright-IGK	Infected	Infected bright	Bright	IGK	volume	107.764725	0.00291267766488341
Infected-2-Naive-IGK	Infected	Infected naive	Naive	IGK	volume	107.930016	0.173315964494385
Infected-3-Bright-IGK	Infected	Infected bright	Bright	IGK	volume	108.74842	1.01703238919032
Infected-3-Naive-IGK	Infected	Infected naive	Naive	IGK	volume	108.39098	0.648537124207116
Infected-4-Bright-IGK	Infected	Infected bright	Bright	IGK	volume	109.16259	1.44401225685508
Infected-4-Naive-IGK	Infected	Infected naive	Naive	IGK	volume	108.08738	0.335547077069411
Infected-5-Bright-IGK	Infected	Infected bright	Bright	IGK	volume	107.28084	-0.495938405863533
Infected-5-Naive-IGK	Infected	Infected naive	Naive	IGK	volume	106.90761	-0.880712039899114
CVID-2-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	101.39068	2.23390187637598
CVID-2-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	98.021385	-0.381967579584347
CVID-4-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	99.19705	0.530800867209899
CVID-4-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	98.322845	-0.147918614980828
CVID-5-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	97.92417	-0.45744382881784
CVID-5-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	97.88186	-0.490292670098192
CVID-6-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	97.32551	-0.922234358737373
CVID-6-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	97.00548	-1.17070078924908
CVID-7-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	98.34064	-0.134102847299816
CVID-7-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	97.656364	-0.665364339050078
CVID-8-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	99.2231	0.551025691491465
CVID-8-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	97.30876	-0.93523880429269
CVID-9-Bright-IGL	CVID	CVID bright	Bright	IGL	volume	98.86985	0.276767757615687
CVID-9-Naive-IGL	CVID	CVID naive	Naive	IGL	volume	98.703	0.147227952188447
HD-1-Bright-IGL	Healthy	Healthy bright	Bright	IGL	volume	99.75218	0.961795366381753
HD-1-Naive-IGL	Healthy	Healthy naive	Naive	IGL	volume	97.74936	-0.593163657326903
HD-3-Bright-IGL	Healthy	Healthy bright	Bright	IGL	volume	101.68296	2.46082362843036
HD-3-Naive-IGL	Healthy	Healthy naive	Naive	IGL	volume	98.30365	-0.162821321394825
HD-4-Bright-IGL	Healthy	Healthy bright	Bright	IGL	volume	99.54475	0.8007498653942
HD-4-Naive-IGL	Healthy	Healthy naive	Naive	IGL	volume	98.0374	-0.369533776863828
HD-5-Bright-IGL	Healthy	Healthy bright	Bright	IGL	volume	100.18788	1.30006622778212
HD-5-Naive-IGL	Healthy	Healthy naive	Naive	IGL	volume	97.837944	-0.524388385382244
Infected-2-Bright-IGL	Infected	Infected bright	Bright	IGL	volume	99.38503	0.676745683657082
Infected-2-Naive-IGL	Infected	Infected naive	Naive	IGL	volume	98.47958	-0.0262319418993865
Infected-3-Bright-IGL	Infected	Infected bright	Bright	IGL	volume	98.8732	0.27936864672675
Infected-3-Naive-IGL	Infected	Infected naive	Naive	IGL	volume	97.31208	-0.932661206725912
Infected-4-Bright-IGL	Infected	Infected bright	Bright	IGL	volume	99.04915	0.415973553918379
Infected-4-Naive-IGL	Infected	Infected naive	Naive	IGL	volume	97.1957	-1.02301687082913
Infected-5-Bright-IGL	Infected	Infected bright	Bright	IGL	volume	96.3083	-1.71198075057821
Infected-5-Naive-IGL	Infected	Infected naive	Naive	IGL	volume	96.72001	-1.39233536075232
